종목,종목코드,현재가,시가총액_조,지배주주자본_조,반기순이익_조,ROE_연환산_%,PBR_계산,PBR_한투,PER_한투,BPS_한투
KB금융,105560,176600,62.6,60.9,3.88,13.0,1.03,1.07,11.68,164669
JB금융지주,175330,32400,6.0,6.0,0.39,12.9,1.0,1.02,8.79,31745
신한지주,055550,112700,52.9,60.1,4.42,15.0,0.88,0.93,11.18,121468
하나금융지주,086790,138300,37.5,46.9,2.4,10.5,0.8,0.84,9.8,164776
우리금융지주,316140,36450,26.9,38.9,1.67,8.9,0.69,0.74,8.64,49068
iM금융지주,139130,18330,2.9,6.4,0.3,9.4,0.46,0.47,6.8,38725
BNK금융지주,138930,16130,4.9,10.9,0.41,7.6,0.45,0.46,6.28,34780
