,2026반기,2025반기,2025년,2024년
대출금리(A) %,3.9,4.19,4.05,4.57
예금금리(B) %,1.9,2.18,2.05,2.44
예대금리차(A-B) %p,2.0,2.01,2.0,2.13
NIM %,1.76,1.74,1.74,1.78
이자수익 조원,10.969377,11.204351,22.124861,23.433226
이자비용 조원,5.313837,5.875774,11.204545,12.9872
순이자이익 조원,5.65554,5.328577,10.920316,10.446026
