,세전이익 조원,비중 %
은행,3.026801,52.36428980825659
증권,1.076278,18.619834308978618
손해보험,0.66608,11.523323190220815
신용카드,0.296879,5.136068738574293
생명보험,0.170831,2.9554119984215292
기타,0.543408,9.40107195554815
